x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0,1.842140421e-20,3.503959303e-20,4.822786234e-20,5.669525247e-20,5.961291627e-20,5.669525247e-20,4.822786234e-20,3.503959303e-20,1.842140421e-20,7.185707723e-37,-1.842140421e-20,-3.503959303e-20,-4.822786234e-20,-5.669525247e-20,-5.961291627e-20,-5.669525247e-20,-4.822786234e-20,-3.503959303e-20,-1.842140421e-20,0
0,1.819460616e-20,3.460819749e-20,4.763409733e-20,5.599723983e-20,5.887898235e-20,5.599723983e-20,4.763409733e-20,3.460819749e-20,1.819460616e-20,3.787304859e-37,-1.819460616e-20,-3.460819749e-20,-4.763409733e-20,-5.599723983e-20,-5.887898235e-20,-5.599723983e-20,-4.763409733e-20,-3.460819749e-20,-1.819460616e-20,0
0,1.751979651e-20,3.332463328e-20,4.586742275e-20,5.39203893e-20,5.669525247e-20,5.39203893e-20,4.586742275e-20,3.332463328e-20,1.751979651e-20,6.461313573e-38,-1.751979651e-20,-3.332463328e-20,-4.586742275e-20,-5.39203893e-20,-5.669525247e-20,-5.39203893e-20,-4.586742275e-20,-3.332463328e-20,-1.751979651e-20,0
0,1.641359134e-20,3.122050599e-20,4.297134e-20,5.051583984e-20,5.311549732e-20,5.051583984e-20,4.297134e-20,3.122050599e-20,1.641359134e-20,3.966271429e-37,-1.641359134e-20,-3.122050599e-20,-4.297134e-20,-5.051583984e-20,-5.311549732e-20,-5.051583984e-20,-4.297134e-20,-3.122050599e-20,-1.641359134e-20,0
0,1.490322907e-20,2.834762624e-20,3.901716024e-20,4.586742275e-20,4.822786234e-20,4.586742275e-20,3.901716024e-20,2.834762624e-20,1.490322907e-20,9.333306566e-37,-1.490322907e-20,-2.834762624e-20,-3.901716024e-20,-4.586742275e-20,-4.822786234e-20,-4.586742275e-20,-3.901716024e-20,-2.834762624e-20,-1.490322907e-20,0
0,1.302589984e-20,2.477673384e-20,3.410224851e-20,4.008959748e-20,4.215269734e-20,4.008959748e-20,3.410224851e-20,2.477673384e-20,1.302589984e-20,1.39938593e-36,-1.302589984e-20,-2.477673384e-20,-3.410224851e-20,-4.008959748e-20,-4.215269734e-20,-4.008959748e-20,-3.410224851e-20,-2.477673384e-20,-1.302589984e-20,0
0,1.082782972e-20,2.059575603e-20,2.834762624e-20,3.332463328e-20,3.503959303e-20,3.332463328e-20,2.834762624e-20,2.059575603e-20,1.082782972e-20,8.129728123e-37,-1.082782972e-20,-2.059575603e-20,-2.834762624e-20,-3.332463328e-20,-3.503959303e-20,-3.332463328e-20,-2.834762624e-20,-2.059575603e-20,-1.082782972e-20,0
0,8.363142503e-21,1.590764235e-20,2.189499133e-20,2.5739106e-20,2.706369765e-20,2.5739106e-20,2.189499133e-20,1.590764235e-20,8.363142503e-21,8.33123972e-37,-8.363142503e-21,-1.590764235e-20,-2.189499133e-20,-2.5739106e-20,-2.706369765e-20,-2.5739106e-20,-2.189499133e-20,-1.590764235e-20,-8.363142503e-21,0
0,5.692526961e-21,1.082782972e-20,1.490322907e-20,1.751979651e-20,1.842140421e-20,1.751979651e-20,1.490322907e-20,1.082782972e-20,5.692526961e-21,7.209555262e-37,-5.692526961e-21,-1.082782972e-20,-1.490322907e-20,-1.751979651e-20,-1.842140421e-20,-1.751979651e-20,-1.490322907e-20,-1.082782972e-20,-5.692526961e-21,0
0,2.881742513e-21,5.48139999e-21,7.544499846e-21,8.869091491e-21,9.325514666e-21,8.869091491e-21,7.544499846e-21,5.48139999e-21,2.881742513e-21,2.951784973e-37,-2.881742513e-21,-5.48139999e-21,-7.544499846e-21,-8.869091491e-21,-9.325514666e-21,-8.869091491e-21,-7.544499846e-21,-5.48139999e-21,-2.881742513e-21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
